Data,Document,Descriere,Cont Debit,Cont Credit,Suma Debit,Suma Credit
2023-02-12,Factura,Vânzare autoturism,461,7583,15000.00,15000.00
2023-02-12,Factura,TVA Vanzare autoturism,461,4427,2850.00,2850.00
2023-02-12,Fișa mijlocului fix,Scoatere din evidență autoturism. Amortizare,2813,2133,18000.00,18000.00
2023-02-12,Fișa mijlocului fix,Scoatere din evidență autoturism,6583,2133,12000.00,12000.00
2023-05-12,Contract de leasing,Inregistrare contract de leasing,2133,2133,95000.00,95000.00
2023-05-12,Nota contabila,Evidentierea dobanzii,-,8051,14250.00,14250.00
2023-06-12,Contract vânzare- cumpărare,Vânzare acțiuni,461,7642,500.00,500.00
2023-06-12,Contract vânzare- cumpărare,Vânzare acțiuni,461,5081,125.00,125.00
2023-06-12,Extras de cont,Comision bancar vanzare actiuni,668,461,12.50,12.50
2023-06-12,Jurnal de banca,Incasare prin virament bancar,5121,461,12.50,12.50
2023-07-12,Factura furnizor extern,Înregistrare achiziție mărfuri,371,401,29750.00,29750.00
2023-07-12,Factura transport extern,Înregistrare transport,371,401,4950.00,4950.00
2023-07-12,Document,Inregistrare taxe vamale,371,446,3000.00,3000.00
2023-07-12,Document,Inregistrare comision vamal,371,446,150.00,150.00
2023-07-12,,Inregistrare TVA import vamal,4426,446,6298.50,6298.50
2023-07-12,Ordin de plată,Plata datorii vamale,446,5121,3000.00,3000.00
2023-07-12,Ordin de plată,Plata comision vamal,446,5121,150.00,150.00
2023-07-12,Ordin de plată,Plata TVA import,446,5121,6298.50,6298.50
2023-08-12,Bon de consum,Consum materii prime,601,301,2500.00,2500.00
2023-09-12,Ordin de schimb valutar,Înregistrare schimb valutar - vanzare la licitatie,5125,5121,49000.00,49000.00
2023-09-12,Ordin de schimb valutar,Înregistrare schimb valutar - cumparare valuta,5124,5125,49000.00,49000.00
2023-09-12,Ordin de plata in valuta,Plata BeBeBe datorii furnizor,401,5124,19800.00,19800.00
2023-09-12,Ordin de plata in valuta,Inregistrare diferenta favorabila de curs,401,7651,200.00,200.00
2023-09-12,Extras bancar in valuta,Înregistrare comision bancar,627,5124,247.50,247.50
2023-12-12,"Registru de casa, Stat de plata",Plata salarii,421,5311,3542.00,3542.00
2023-12-12,Factura furnizor extern,Achizitie marfuri,371,401,53900.00,53900.00
2023-12-12,Notă contabilă,Înregistrare taxă inversă,4426,4427,10241.00,10241.00
2023-12-13,Bon de predare,Obținere produs finit,345,711,6000.00,6000.00
2023-12-13,Bon fiscal,Plata furnizor,401,5311,384.00,384.00
2023-12-13,Decont de cheltuieli,Înregistrare bon fiscal combustibil,6022,401,322.70,322.70
2023-12-13, Decont de cheltuieli,Înregistrare TVA combustibil ,4426,4011,61.30,61.30
2023-12-13,Factura vânzare,Vânzarea mărfurilor,4111,707,4000.00,4000.00
14/12/2023,Factura vânzare,TVA Vânzarea mărfurilor,4111,4427,760.00,760.00
2023-12-14,Bon consum,Scoatere din gestiune mărfurile,607,371,2800.00,2800.00
2023-12-14,Extras de cont in valuta,Încasare client extern,5124,4112,7200.00,7200.00
2023-12-15,Extras de cont in valuta,Încasare client extern,5124,7651,255.00,255.00
2023-12-15,Extras de cont in valuta,Înregistrare comision bancar,627,5121,500.00,500.00
2023-12-16,Factura,Factură apă,6052,401,300.00,300.00
2023-12-16,Factura,Factură apă TVA,4426,401,57.00,57.00
2023-12-16,Factura,Ffactură energie electrică,6051,401,400.00,400.00
2023-12-16,Factura,Factură energie electrică TVA,4426,401,76.00,76.00
2023-12-16,Factura,Factură telefonie,626,401,500.00,500.00
2023-12-16,Factura,Factură telefonie TVA,4426,401,95.00,95.00
2023-12-16,Factura,Inregistrare chirie datorată,612,401,2000.00,2000.00
2023-12-16,Factura,Inregistrare chirie datorată,471,401,2000.00,2000.00
2023-12-16,Factura,Inregistrare chirie datorată TVA,4426,401,760.00,760.00
2023-12-19,Ordin retragere numerar din banca,Retragere numerar ,581,5121,2000.00,2000.00
2023-12-19,Ștat de plata,Depunere în caserie,5311,581,2000.00,2000.00
2023-12-19,Registru de casa,Plată avansuri salariale,425,5311,1500.00,1500.00
2023-12-20,Factura,Plată furnizor apă,401,5311,357.00,357.00
2023-12-20,Factura,Plată furnizor energie,401,5311,476.00,476.00
2023-12-20,Factura,Plată furnizor telefonie,401,5311,595.00,595.00
2023-12-20,Factura leasing,Rata I leasing,167,404,2375.00,2375.00
2023-12-21,Factura leasing,Rata I leasing,666,404,490.00,490.00
2023-12-21,Factura leasing,Rata I leasing,668,404,75.00,75.00
2023-12-21,Factura leasing,Rata I leasing,4426,404,558.60,558.60
2023-12-22,Ordin de plata,Plată datorii salariati,4423,5121,9158.00,9158.00
2023-12-22,Ordin de plata,Plată datorii salariati,4315,5121,2188.00,2188.00
2023-12-22,Ordin de plata,Plată datorii salariati,4316,5121,175.00,175.00
2023-12-22,Ordin de plata,Plată datorii salariati,444,5121,608.00,608.00
2023-12-22,Ordin de plata,Plată datorii salariati,447,5121,38.00,38.00
2023-12-22,Extras bancar,Comision bancar,627,5121,40.00,40.00
2023-12-22,Dispozitie de incasare,Incasare numerar din creanță,5311,461,17850.00,17850.00
2023-12-22,Factura avans,Înregistrare factură avans,4091,4011,3000.00,3000.00
2023-12-22,Factura avans,Înregistrare factură avans TVA,4426,4011,570.00,570.00
2023-12-22,Ordin de plata,Plata factură avans,4011,5121,3570.00,3570.00
2023-12-22,Factura vanzare,Vânzare produs finit,4111,7015,10000.00,10000.00
2023-12-22,Factura vanzare,Vânzare produs finit TVA,4111,4427,1900.00,1900.00
22/12/2023,bon de livrare,Livrare produse afinite,711,345,3500.00,3500.00
2023-12-27,Bilet la ordin,Acceptare bilet la ordin,413,4111,11900.00,11900.00
2023-12-28,Factura de vanzare,Înregistrare factură externă,4111,707,39200.00,39200.00
2023-12-28,Bon de livrare,Livrare mărfuri din stoc,607,371,15000.00,15000.00
2023-12-28,Chitanta,Plată factură leasing I/comision bancar,404,5121,3498.00,3498.00
2023-12-28,Chitanta,Plată factură leasing I/comision bancar,627,5121,15.00,15.00
2023-12-28,Factura de vanzare,Factură de servicii,4111,704,50000.00,50000.00
2023-12-29,Factura de vanzare,Factură de servicii,4111,4427,9500.00,9500.00
2023-12-31,,Încasare dobânzii,5121,766,10.00,10.00
2023-12-31,Extras bancar,Comision bancar,627,5121,50.00,50.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2812,300.00,300.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2813,500.00,500.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2808,100.00,100.00
2023-12-31,Notă contabilă,Inregistrare amortizare,6811,2814,100.00,100.00
2023-12-31,,Înregistrare ștat de salarii,641,421,11500.00,11500.00
2023-12-31,,Înregistrare ștat de salarii,421,4315,2875.00,2875.00
2023-12-31,,Înregistrare ștat de salarii,421,4316,1150.00,1150.00
2023-12-31,Ștat de plata,,421,444,663.00,663.00
2023-12-31,Ștat de plata,,6461,436,259.00,259.00
2023-12-31,Ștat de plata,Lipsa inventar,601,301,400.00,400.00
2023-12-31,Nota contabila,Ajustare inventar,635,4426,76.00,76.00
2023-12-31,,Depreciere marfurilor,6814,397,1000.00,1000.00
2023-12-31,,Reevaluarea cheltuielilor de ajustare deprecieri,2961,7863,50000.00,50000.00
2023-12-31,Ștat de plata,Acțiuniile din portofoliu,6864,698,150.00,150.00
2023-12-31,Notă contabilă,Actualizare creanta externa,4112,7651,46.69,46.69
2023-12-31,Notă contabilă,Actualizare creanta externa,4112,7651,800.00,800.00
2023-12-31,Notă contabilă,Actualizare creanta externa,6651,401,140.00,140.00
2023-12-31,Notă contabilă,Actualizare creanta externa,6651,401,1870.00,1870.00
2023-12-31,Notă contabilă,Actualizare creanta externa,668,167,6240.00,6240.00
